Gene_ID	A.Priori.Candidate.Gene.Pathway	chr_v4	start_v4	end_v4	RefGen_v4.Annotated.Gene.Function..raw.	Gene.Name	functional.annotation	genotype	treatment	genotype:treatment
Zm00001d049046	Tocochromanol Pathway	4	13840987	13856256	Protein kinase superfamily protein	abc1k3-a	Protein kinase superfamily protein	0.0187543137200914	0.728129682975571	0.245700210086413
Zm00001d050412	Chorismate/Tyrosine Synthesis	4	86684719	86687129	Chorismate mutase 2	cmu2-a	chorismate mutase	0.0181740266080475	0.0638281393804204	0.400885698930468
Zm00001d051458	IPP Synthesis	4	159348371	159355666	 mecs1;methyl erythritol cyclodiphosphate synthase1:	mecs1	isoprenoid F	0.000403020546473233	0.301606657196251	0.144304514601049
Zm00001d051567	chlorophyll degradation	4	162923074	162924909	alpha/beta-Hydrolases superfamily protein	abh	alpha/beta-Hydrolases superfamily protein	0.0393342186859951	6.83532162304308e-06	0.0877882922974753
Zm00001d052247	Chorismate/Tyrosine Synthesis	4	184666747	184669386	Shikimate kinase 1 chloroplastic	sk1-b	shikimate kinase	0.000298391923253886	0.467225745687688	0.20605230783111
Zm00001d052797	Chorismate/Tyrosine Synthesis	4	201290250	201299726	Phospho-2-dehydro-3-deoxyheptonate aldolase 2 chloroplastic	dhs2-d	Class-II DAHP synthetase family protein	0.00132647014471458	0.0405244305042984	0.614422511530372
Zm00001d053107	Tryosine Degradation	4	214129873	214132827	Tyrosine aminotransferase	sur1-b	Tyrosine transaminase family protein	0.00334303275454804	0.202959922771111	0.878958356600429
Zm00001d053281	Tryosine Degradation	4	223892837	223896295	 naat1;nicotianamine aminotransferase1: similar to rice NAAT1 gene likely involved in iron uptake.	naat1	Tyrosine transaminase family protein	0.000112156170116343	0.157092817288407	0.406608038791777
Zm00001d053663	Tryosine Degradation	4	238377007	238380691	Fumarylacetoacetase	fahd-c	fumarylacetoacetase, putative	0.000607735471791038	0.091269599201017	0.566008367044312
Zm00001d053807	tetrapyrrole biosynthesis I (from glutamate)	4	241453021	241456437	Porphobilinogen deaminase chloroplastic	hemc-a	hydroxymethylbilane synthase	0.00112619698187379	0.0484293752121348	0.140009101008492
Zm00001d053953	Prenyl Group Synthesis	4	244172415	244173660	Lil3 protein  	lil3	Chlorophyll A-B binding family protein	0.00211771751295284	0.369194007818182	0.408150680033206
